epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,best_epoch
53,51.93619,2249.60443,0.62489,0.06636246,4.917e-05,383461.0,0.05047,0.97915,0.81236,0.5763,0.67426,0.96823,1.86691,0.08539027,0.0,383461.0,0.01447,0.98225,0.58333,0.34568,0.43411,0.81246,1.86065,0.15781163,0.0,383461.0,0.01442,0.96864,0.50877,0.22308,0.31016,0.77259,
54,52.04099,2203.26625,0.61202,0.06347151,4.752e-05,383461.0,0.05057,0.97882,0.80226,0.5763,0.67076,0.97303,1.86916,0.08984925,0.0,383461.0,0.01449,0.97933,0.46154,0.2963,0.3609,0.80979,1.85718,0.16693664,0.0,383461.0,0.0144,0.96742,0.46552,0.20769,0.28723,0.76355,
55,52.58713,2157.15351,0.59921,0.06342671,4.587e-05,383461.0,0.05111,0.97954,0.82387,0.57711,0.67876,0.97373,1.8528,0.09108637,0.0,383461.0,0.01436,0.97933,0.46552,0.33333,0.38849,0.81471,1.84212,0.16782907,0.0,383461.0,0.01428,0.96864,0.5082,0.23846,0.32461,0.76114,
56,52.71089,2110.90696,0.58636,0.06382673,4.423e-05,383461.0,0.05123,0.97954,0.81943,0.58198,0.68059,0.97344,1.86715,0.09450681,0.0,383461.0,0.01447,0.97933,0.47059,0.39506,0.42953,0.80166,1.85676,0.1722128,0.0,383461.0,0.01439,0.96718,0.46835,0.28462,0.35407,0.76554,
57,51.95029,2063.88672,0.5733,0.06187441,4.259e-05,383461.0,0.05049,0.97964,0.81573,0.58929,0.68426,0.97503,1.85645,0.08926682,0.0,383461.0,0.01439,0.98104,0.5283,0.34568,0.41791,0.80292,1.84236,0.16157816,0.0,383461.0,0.01428,0.96912,0.52308,0.26154,0.34872,0.76862,
58,51.93823,2016.69098,0.56019,0.06066247,4.096e-05,383461.0,0.05047,0.97903,0.80178,0.58442,0.67606,0.97677,1.85483,0.09192946,0.0,383461.0,0.01438,0.97982,0.48529,0.40741,0.44295,0.81743,1.84354,0.1698591,0.0,383461.0,0.01429,0.96766,0.48,0.27692,0.35122,0.77015,
59,51.9216,1969.32608,0.54704,0.06049066,3.934e-05,383461.0,0.05046,0.98037,0.82269,0.60633,0.69813,0.97662,1.85403,0.08914335,0.0,383461.0,0.01437,0.98128,0.53704,0.35802,0.42963,0.80933,1.8467,0.16900018,0.0,383461.0,0.01432,0.96985,0.54286,0.29231,0.38,0.76802,
60,52.02314,1921.87669,0.53385,0.05723919,3.773e-05,383461.0,0.05056,0.9803,0.82589,0.60065,0.69549,0.98034,1.85397,0.09113441,0.0,383461.0,0.01437,0.98031,0.5,0.34568,0.40876,0.81168,1.84548,0.17496363,0.0,383461.0,0.01431,0.96766,0.48101,0.29231,0.36364,0.76602,
61,52.09357,1874.32292,0.52065,0.05806377,3.613e-05,383461.0,0.05063,0.98046,0.82905,0.60227,0.6977,0.97782,1.86366,0.09522025,0.0,383461.0,0.01445,0.98055,0.50725,0.4321,0.46667,0.81507,1.84819,0.17845659,0.0,383461.0,0.01433,0.96766,0.48235,0.31538,0.3814,0.77023,
62,52.11771,1826.63922,0.5074,0.05659577,3.455e-05,383461.0,0.05065,0.98103,0.83043,0.62013,0.71004,0.98122,1.85154,0.09620315,0.0,383461.0,0.01435,0.97982,0.48438,0.38272,0.42759,0.81423,1.8442,0.18549771,0.0,383461.0,0.0143,0.96596,0.44048,0.28462,0.34579,0.75976,
63,52.15718,1778.83915,0.49412,0.05657114,3.299e-05,383461.0,0.05069,0.98097,0.81962,0.63068,0.71284,0.97981,1.8631,0.09268752,0.0,383461.0,0.01444,0.98079,0.51923,0.33333,0.40602,0.82032,1.84874,0.17908628,0.0,383461.0,0.01433,0.97034,0.56452,0.26923,0.36458,0.76993,
64,52.09652,1730.87235,0.4808,0.05787159,3.144e-05,383461.0,0.05063,0.981,0.83169,0.61769,0.7089,0.97895,1.85429,0.09589301,0.0,383461.0,0.01437,0.98104,0.52542,0.38272,0.44286,0.80954,1.84478,0.17914726,0.0,383461.0,0.0143,0.96815,0.49275,0.26154,0.34171,0.77469,
65,52.12607,1682.79563,0.46744,0.05642351,2.992e-05,383461.0,0.05066,0.981,0.81714,0.63474,0.71448,0.98028,1.86081,0.09557948,0.0,383461.0,0.01442,0.98055,0.50847,0.37037,0.42857,0.81554,1.85002,0.17893274,0.0,383461.0,0.01434,0.96864,0.50769,0.25385,0.33846,0.77246,
66,52.02934,1634.5504,0.45404,0.05638193,2.841e-05,383461.0,0.05056,0.98097,0.82303,0.62662,0.71152,0.98018,1.85306,0.09662198,0.0,383461.0,0.01436,0.98152,0.54386,0.38272,0.44928,0.81717,1.84299,0.18291606,0.0,383461.0,0.01429,0.96815,0.49231,0.24615,0.32821,0.77212,
67,52.19383,1586.27128,0.44063,0.05325754,2.693e-05,383461.0,0.05072,0.98173,0.83386,0.63961,0.72393,0.98312,1.85833,0.10040624,0.0,383461.0,0.01441,0.98006,0.49206,0.38272,0.43056,0.81,1.83782,0.19017899,0.0,383461.0,0.01425,0.96791,0.48611,0.26923,0.34653,0.76476,
68,52.72478,1538.11722,0.42725,0.05522033,2.548e-05,383461.0,0.05124,0.98167,0.83781,0.63312,0.72122,0.98127,1.84822,0.09735221,0.0,383461.0,0.01433,0.98152,0.54237,0.39506,0.45714,0.80507,1.83925,0.18269055,0.0,383461.0,0.01426,0.96815,0.49231,0.24615,0.32821,0.76811,
69,52.55713,1489.76073,0.41382,0.05415096,2.405e-05,383461.0,0.05108,0.98179,0.84069,0.63393,0.72281,0.98368,1.84736,0.09827595,0.0,383461.0,0.01432,0.98274,0.59259,0.39506,0.47407,0.81064,1.83728,0.19178753,0.0,383461.0,0.01424,0.96742,0.47059,0.24615,0.32323,0.76658,
70,52.27207,1441.16948,0.40032,0.05435227,2.265e-05,383461.0,0.0508,0.98152,0.82842,0.6388,0.72136,0.98399,1.84838,0.09602632,0.0,383461.0,0.01433,0.98152,0.54545,0.37037,0.44118,0.81701,1.83799,0.18354634,0.0,383461.0,0.01425,0.96888,0.51786,0.22308,0.31183,0.76945,
71,52.876,1392.71084,0.38686,0.05187022,2.128e-05,383461.0,0.05139,0.98255,0.84705,0.65179,0.7367,0.98395,1.84779,0.10224401,0.0,383461.0,0.01432,0.98225,0.56897,0.40741,0.47482,0.81674,1.84086,0.20620196,0.0,383461.0,0.01427,0.96912,0.52459,0.24615,0.33508,0.75988,
72,52.04361,1343.82331,0.37328,0.05240859,1.995e-05,383461.0,0.05058,0.98219,0.83368,0.65503,0.73364,0.98428,1.84997,0.10140515,0.0,383461.0,0.01434,0.98079,0.51724,0.37037,0.43165,0.81154,1.841,0.19303883,0.0,383461.0,0.01427,0.96985,0.55,0.25385,0.34737,0.75977,
73,52.19786,1294.90467,0.3597,0.05279314,1.864e-05,383461.0,0.05073,0.9824,0.84477,0.64935,0.73428,0.98368,1.85569,0.10266377,0.0,383461.0,0.01439,0.98225,0.57143,0.39506,0.46715,0.81418,1.84167,0.20395625,0.0,383461.0,0.01428,0.96937,0.53448,0.23846,0.32979,0.75601,
