epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_auc,train_ap,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_auc,val_ap,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_auc,test_ap,best_epoch,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5
45,253.967,14113.75753,3.92049,0.02503465,0.00031137,9744870.0,0.37075,0.98959,0.95991,0.53301,14.61887,0.04529087,0.0,9744870.0,0.16999,0.9812,0.8794,0.29842,13.56698,0.04771481,0.0,9744870.0,0.15776,0.98018,0.87587,0.28628,,1.4751,0.5249,1.756,0.244,1.6873,0.3127,1.637,0.3631,1.6925,0.3075
46,254.46233,13844.6068,3.84572,0.02479228,0.00030332,9744870.0,0.37148,0.98967,0.96113,0.54017,12.9034,0.0453976,0.0,9744870.0,0.15004,0.98141,0.87827,0.2964,13.58107,0.04788022,0.0,9744870.0,0.15792,0.98009,0.87155,0.2863,,1.4752,0.5248,1.7573,0.2426,1.6885,0.3115,1.6338,0.3662,1.689,0.311
47,256.25742,13578.01276,3.77167,0.02462381,0.00029522,9744870.0,0.3741,0.98983,0.96231,0.54738,12.9451,0.04561397,0.0,9744870.0,0.15052,0.98127,0.87836,0.29813,13.58462,0.04803338,0.0,9744870.0,0.15796,0.98015,0.87515,0.28806,,1.4743,0.5257,1.7615,0.2385,1.6893,0.3107,1.6267,0.3733,1.6904,0.3097
48,255.31257,13310.85721,3.69746,0.02439583,0.00028707,9744870.0,0.37272,0.98995,0.96308,0.55196,12.87443,0.04568441,0.0,9744870.0,0.1497,0.98119,0.87671,0.29947,13.6549,0.04799965,0.0,9744870.0,0.15878,0.97987,0.87335,0.29113,,1.4819,0.5181,1.7601,0.2399,1.6846,0.3154,1.6276,0.3724,1.6878,0.3122
49,254.66808,13043.53089,3.6232,0.02421505,0.00027887,9744870.0,0.37178,0.99004,0.9641,0.55369,12.90552,0.04600795,0.0,9744870.0,0.15006,0.98071,0.87591,0.29653,13.61922,0.04845894,0.0,9744870.0,0.15836,0.97969,0.87151,0.28609,,1.4829,0.5171,1.7645,0.2355,1.6827,0.3173,1.6286,0.3714,1.6854,0.3146
50,255.45513,12777.45716,3.54929,0.02402734,0.00027064,9744870.0,0.37293,0.99008,0.96517,0.56063,15.06891,0.04590013,0.0,9744870.0,0.17522,0.98118,0.87777,0.29867,14.08319,0.04836731,0.0,9744870.0,0.16376,0.98013,0.87284,0.28948,,1.4848,0.5151,1.7652,0.2348,1.6816,0.3184,1.6259,0.3741,1.6866,0.3134
51,259.48134,12515.50834,3.47653,0.02377577,0.0002624,9744870.0,0.3788,0.99014,0.96579,0.56533,13.03882,0.04596526,0.0,9744870.0,0.15161,0.98114,0.87361,0.29659,13.70765,0.04852887,0.0,9744870.0,0.15939,0.98013,0.8711,0.28627,,1.4845,0.5155,1.7593,0.2407,1.6826,0.3174,1.6237,0.3764,1.6857,0.3143
52,254.87858,12249.57094,3.40266,0.02362099,0.00025413,9744870.0,0.37209,0.99022,0.96687,0.5721,12.93333,0.04626042,0.0,9744870.0,0.15039,0.98118,0.87461,0.29969,13.61335,0.04878234,0.0,9744870.0,0.15829,0.97998,0.87004,0.28727,,1.4883,0.5117,1.7583,0.2417,1.6803,0.3197,1.6205,0.3795,1.6837,0.3163
53,254.48349,11983.70656,3.32881,0.0234264,0.00024587,9744870.0,0.37151,0.99035,0.96787,0.57564,12.91165,0.04630026,0.0,9744870.0,0.15014,0.98104,0.87546,0.29856,13.68462,0.04874224,0.0,9744870.0,0.15912,0.97977,0.87249,0.28676,,1.4896,0.5104,1.7593,0.2407,1.6844,0.3156,1.6229,0.3771,1.6787,0.3213
54,257.40566,11720.64691,3.25574,0.02323193,0.0002376,9744870.0,0.37577,0.99036,0.96874,0.58227,13.45884,0.04629786,0.0,9744870.0,0.1565,0.98077,0.87428,0.29884,14.0981,0.04895739,0.0,9744870.0,0.16393,0.97976,0.86898,0.28924,,1.4888,0.5111,1.756,0.244,1.6814,0.3186,1.6195,0.3805,1.6804,0.3196
55,257.65948,11457.9886,3.18277,0.02308214,0.00022936,9744870.0,0.37615,0.99043,0.96953,0.58669,12.87911,0.04667227,0.0,9744870.0,0.14976,0.98091,0.87465,0.29504,13.63293,0.04918639,0.0,9744870.0,0.15852,0.97973,0.87147,0.28736,,1.4904,0.5096,1.7578,0.2422,1.6778,0.3222,1.618,0.382,1.6765,0.3235
56,254.44921,11193.08392,3.10919,0.02288074,0.00022113,9744870.0,0.37146,0.99049,0.97041,0.59396,12.93527,0.04671181,0.0,9744870.0,0.15041,0.98094,0.87468,0.29627,13.60339,0.04928512,0.0,9744870.0,0.15818,0.97992,0.86917,0.28962,,1.489,0.511,1.7585,0.2415,1.6779,0.3221,1.6154,0.3846,1.6774,0.3226
57,256.46223,10929.99747,3.03611,0.02270672,0.00021293,9744870.0,0.3744,0.99064,0.97091,0.59656,12.88156,0.04715296,0.0,9744870.0,0.14979,0.98083,0.87372,0.29526,13.65429,0.04966558,0.0,9744870.0,0.15877,0.97967,0.86746,0.28633,,1.4904,0.5096,1.7594,0.2406,1.6822,0.3178,1.6113,0.3888,1.6766,0.3234
58,254.25257,10665.60004,2.96267,0.0225134,0.00020478,9744870.0,0.37117,0.99068,0.97166,0.60292,12.95387,0.04685142,0.0,9744870.0,0.15063,0.98134,0.87264,0.29776,13.61673,0.04952927,0.0,9744870.0,0.15833,0.97975,0.86849,0.28774,,1.4913,0.5087,1.7543,0.2457,1.6774,0.3226,1.6072,0.3928,1.675,0.325
59,256.53576,10403.0629,2.88974,0.02233017,0.00019668,9744870.0,0.3745,0.99072,0.97264,0.60665,12.86722,0.04733987,0.0,9744870.0,0.14962,0.98099,0.87208,0.29622,13.65014,0.0499292,0.0,9744870.0,0.15872,0.97964,0.86842,0.28478,,1.4948,0.5052,1.7593,0.2407,1.6801,0.3199,1.6085,0.3915,1.6703,0.3297
60,256.28342,10140.5612,2.81682,0.02220017,0.00018863,9744870.0,0.37414,0.99079,0.973,0.61043,12.91629,0.04733952,0.0,9744870.0,0.15019,0.98103,0.87256,0.29623,13.54176,0.050109,0.0,9744870.0,0.15746,0.97953,0.86687,0.28667,,1.4958,0.5042,1.7556,0.2444,1.679,0.321,1.6049,0.3951,1.6702,0.3298
61,254.35612,9877.07884,2.74363,0.02200634,0.00018065,9744870.0,0.37132,0.99096,0.97381,0.61716,12.87482,0.04784844,0.0,9744870.0,0.14971,0.98076,0.87126,0.29686,13.57548,0.05062856,0.0,9744870.0,0.15785,0.97945,0.86624,0.2856,,1.4958,0.5042,1.7532,0.2468,1.6801,0.3199,1.6026,0.3974,1.6686,0.3314
62,256.26927,9615.0098,2.67084,0.02186417,0.00017275,9744870.0,0.37412,0.99099,0.97462,0.61927,12.93728,0.04766734,0.0,9744870.0,0.15043,0.98095,0.86962,0.29599,13.59043,0.05036399,0.0,9744870.0,0.15803,0.97965,0.86548,0.28587,,1.4936,0.5064,1.7561,0.2439,1.6795,0.3205,1.6013,0.3987,1.6687,0.3313
63,255.76848,9352.8403,2.59801,0.02167499,0.00016493,9744870.0,0.37338,0.991,0.97512,0.62417,12.85835,0.04769973,0.0,9744870.0,0.14952,0.98107,0.87059,0.29957,13.63666,0.05045571,0.0,9744870.0,0.15857,0.97982,0.86638,0.28654,,1.4978,0.5022,1.7606,0.2394,1.6786,0.3214,1.5998,0.4003,1.6683,0.3317
64,255.91195,9090.94501,2.52526,0.02152857,0.0001572,9744870.0,0.37359,0.99109,0.97545,0.6275,12.93471,0.04794159,0.0,9744870.0,0.1504,0.98106,0.87041,0.29736,13.59589,0.05064114,0.0,9744870.0,0.15809,0.97979,0.86625,0.28573,,1.4956,0.5044,1.7574,0.2426,1.6767,0.3233,1.597,0.403,1.6658,0.3342
65,256.93032,8829.75565,2.45271,0.02136962,0.00014958,9744870.0,0.37508,0.99126,0.97596,0.63251,12.86295,0.04790998,0.0,9744870.0,0.14957,0.98093,0.86993,0.2964,13.65558,0.05071352,0.0,9744870.0,0.15879,0.97957,0.86539,0.28571,,1.4969,0.5031,1.7544,0.2456,1.6747,0.3253,1.5989,0.4011,1.6654,0.3346
66,254.36473,8567.42978,2.37984,0.02123983,0.00014206,9744870.0,0.37134,0.99124,0.97671,0.63504,12.94513,0.04804138,0.0,9744870.0,0.15052,0.98076,0.87011,0.2958,13.62299,0.05084745,0.0,9744870.0,0.15841,0.97963,0.86428,0.28554,,1.5005,0.4995,1.7527,0.2473,1.6742,0.3258,1.5973,0.4027,1.6656,0.3344
