epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_auc,train_ap,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_auc,val_ap,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_auc,test_ap,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5
52.0,258.01376,12212.65157,3.3924,0.02354,0.00025,9744870.0,0.37666,0.99024,0.96764,0.57384,13.20325,0.04632,0.0,9744870.0,0.15353,0.98106,0.87629,0.29866,14.77737,0.04888,0.0,9744870.0,0.17183,0.97972,0.87122,0.2885,1.50331,0.49669,1.79057,0.20944,1.71059,0.28941,1.60463,0.39537,1.65197,0.34803
53.0,257.44221,11950.76225,3.31966,0.02334,0.00025,9744870.0,0.37583,0.99034,0.96851,0.57912,13.1814,0.04652,0.0,9744870.0,0.15327,0.98096,0.87611,0.29827,13.89682,0.04908,0.0,9744870.0,0.16159,0.97966,0.87148,0.28842,1.50415,0.49585,1.7914,0.20861,1.71014,0.28988,1.60278,0.39722,1.65073,0.34927
54.0,259.0794,11690.37416,3.24733,0.02315,0.00024,9744870.0,0.37822,0.99042,0.9693,0.58466,13.21699,0.04655,0.0,9744870.0,0.15368,0.9811,0.87505,0.29811,13.92795,0.04913,0.0,9744870.0,0.16195,0.97978,0.86957,0.28967,1.50447,0.49552,1.79053,0.2095,1.70875,0.29125,1.60101,0.39899,1.64887,0.35113
55.0,258.29335,11429.4152,3.17484,0.02297,0.00023,9744870.0,0.37707,0.99047,0.97009,0.58922,13.1233,0.04667,0.0,9744870.0,0.1526,0.98109,0.8753,0.29711,13.86208,0.04924,0.0,9744870.0,0.16119,0.97975,0.86998,0.28854,1.5051,0.4949,1.7916,0.2084,1.70743,0.29257,1.59936,0.40064,1.64689,0.35311
56.0,257.77108,11168.15577,3.10226,0.02278,0.00022,9744870.0,0.37631,0.99056,0.97085,0.59389,13.12478,0.04689,0.0,9744870.0,0.15261,0.98099,0.87463,0.29694,13.95802,0.04948,0.0,9744870.0,0.1623,0.9796,0.86905,0.2884,1.50668,0.49331,1.7911,0.2089,1.70644,0.29356,1.59644,0.40356,1.64534,0.35466
57.0,257.59618,10906.88998,3.02969,0.0226,0.00021,9744870.0,0.37605,0.99064,0.97165,0.59929,13.10061,0.04698,0.0,9744870.0,0.15233,0.98096,0.87409,0.2983,14.63033,0.04961,0.0,9744870.0,0.17012,0.97961,0.86898,0.28792,1.50676,0.49323,1.79237,0.20764,1.70593,0.29409,1.59586,0.40414,1.64398,0.35602
58.0,256.69784,10645.12432,2.95698,0.02242,0.0002,9744870.0,0.37474,0.99071,0.97231,0.60435,13.06807,0.04708,0.0,9744870.0,0.15196,0.98104,0.87357,0.298,13.78678,0.04972,0.0,9744870.0,0.16031,0.97961,0.86865,0.2877,1.50787,0.49212,1.79178,0.20822,1.70485,0.29515,1.59316,0.40685,1.64372,0.35628
59.0,258.07376,10384.44486,2.88457,0.02225,0.0002,9744870.0,0.37675,0.99077,0.97313,0.60885,13.08124,0.04727,0.0,9744870.0,0.15211,0.98098,0.87307,0.29749,13.76629,0.04995,0.0,9744870.0,0.16007,0.9796,0.86772,0.28745,1.50847,0.49154,1.79234,0.20766,1.7036,0.29644,1.59167,0.40833,1.64141,0.35858
60.0,257.53752,10123.508,2.81208,0.02209,0.00019,9744870.0,0.37597,0.99085,0.97371,0.6137,13.04081,0.0474,0.0,9744870.0,0.15164,0.98104,0.87295,0.29802,13.77032,0.05009,0.0,9744870.0,0.16012,0.97959,0.8671,0.28782,1.50877,0.49123,1.79131,0.20869,1.70212,0.29788,1.58974,0.41026,1.63981,0.3602
61.0,257.05851,9862.3872,2.73955,0.02191,0.00018,9744870.0,0.37527,0.99094,0.97429,0.6178,13.20284,0.04751,0.0,9744870.0,0.15352,0.98097,0.87246,0.29838,13.75915,0.05021,0.0,9744870.0,0.15999,0.97958,0.86648,0.28779,1.50867,0.49133,1.79187,0.20813,1.70237,0.29764,1.58844,0.41156,1.63846,0.36155
62.0,256.85463,9601.27562,2.66702,0.02175,0.00017,9744870.0,0.37497,0.991,0.97497,0.6222,13.08989,0.04771,0.0,9744870.0,0.15221,0.98092,0.872,0.29736,14.69527,0.05041,0.0,9744870.0,0.17088,0.97954,0.86627,0.28733,1.50942,0.49059,1.79219,0.20781,1.70017,0.29984,1.58722,0.41278,1.63766,0.36234
