epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_mae,train_r2,train_spearmanr,train_mse,train_rmse,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,best_epoch
56,6.84742,14233.07638,3.95363,0.26775239,0.00099998,273977.0,0.02188,0.26775,0.85039,0.97719,0.60492,0.77776,0.3003,0.29158651,0.0,273977.0,0.00938,0.29159,0.82379,0.98342,0.69405,0.8331,0.29836,0.25890718,0.0,273977.0,0.00932,0.25891,0.94114,0.98177,0.23946,0.48935,
57,6.8464,14209.71588,3.94714,0.25588734,0.00099997,273977.0,0.02187,0.25589,0.85874,0.97977,0.57116,0.75575,0.30182,0.24412491,0.0,273977.0,0.00943,0.24412,0.83123,0.98438,0.66473,0.81531,0.31263,0.21128019,0.0,273977.0,0.00977,0.21128,0.95436,0.98187,0.18566,0.43088,
58,6.8628,14187.45468,3.94096,0.24690679,0.00099996,273977.0,0.02193,0.24691,0.8591,0.97992,0.56973,0.7548,0.29976,0.2397742,0.0,273977.0,0.00937,0.23977,0.81281,0.98384,0.73728,0.85865,0.29895,0.23692377,0.0,273977.0,0.00934,0.23692,0.91564,0.97877,0.3432,0.58583,
59,6.86315,14165.71807,3.93492,0.26287506,0.00099995,273977.0,0.02193,0.26288,0.85666,0.97935,0.57956,0.76129,0.31938,0.31254303,0.0,273977.0,0.00998,0.31254,0.81971,0.98607,0.71012,0.84269,0.30282,0.28005269,0.0,273977.0,0.00946,0.28005,0.94403,0.98275,0.22772,0.4772,
60,6.82757,14143.3381,3.92871,0.25903049,0.00099994,273977.0,0.02181,0.25903,0.85688,0.97721,0.57868,0.76071,0.30186,0.23795349,0.0,273977.0,0.00943,0.23795,0.84351,0.98642,0.61637,0.78509,0.30022,0.21606855,0.0,273977.0,0.00938,0.21607,0.9564,0.98298,0.17738,0.42116,
61,6.83827,14121.79448,3.92272,0.26497327,0.00099992,273977.0,0.02185,0.26497,0.85519,0.97768,0.58553,0.7652,0.29902,0.34227234,0.0,273977.0,0.00934,0.34227,0.82626,0.98709,0.68432,0.82723,0.2983,0.31000198,0.0,273977.0,0.00932,0.31,0.93749,0.98226,0.2543,0.50428,
62,6.8375,14100.69373,3.91686,0.25841195,0.00099991,273977.0,0.02185,0.25841,0.85942,0.97825,0.56843,0.75394,0.30368,0.26527581,0.0,273977.0,0.00949,0.26528,0.83832,0.98854,0.63682,0.79801,0.30257,0.25302113,0.0,273977.0,0.00946,0.25302,0.94559,0.98264,0.22136,0.47049,
63,6.82576,14079.68372,3.91102,0.25755501,0.00099989,273977.0,0.02181,0.25756,0.85873,0.97939,0.5712,0.75578,0.30029,0.26064886,0.0,273977.0,0.00938,0.26065,0.8408,0.98789,0.62705,0.79186,0.32157,0.23255915,0.0,273977.0,0.01005,0.23256,0.95277,0.98333,0.19216,0.43836,
64,6.85895,14060.09812,3.90558,0.24279472,0.00099987,273977.0,0.02191,0.24279,0.86275,0.98137,0.55495,0.74495,0.31071,0.2309631,0.0,273977.0,0.00971,0.23096,0.8353,0.98857,0.64873,0.80544,0.30177,0.21010427,0.0,273977.0,0.00943,0.2101,0.95238,0.98341,0.19372,0.44014,
65,6.93173,14043.03077,3.90084,0.23944158,0.00099985,273977.0,0.02215,0.23944,0.85993,0.98089,0.56636,0.75257,0.3079,0.23045237,0.0,273977.0,0.00962,0.23045,0.84495,0.98336,0.61071,0.78148,0.30761,0.20703987,0.0,273977.0,0.00961,0.20704,0.95242,0.98153,0.19357,0.43996,
66,6.93432,14026.34079,3.89621,0.24573596,0.00099983,273977.0,0.02215,0.24574,0.85866,0.9801,0.57149,0.75597,0.30821,0.21091247,0.0,273977.0,0.00963,0.21091,0.85728,0.98879,0.56213,0.74975,0.30911,0.19464552,0.0,273977.0,0.00966,0.19465,0.95409,0.98343,0.18676,0.43216,
67,6.90309,14009.0506,3.8914,0.23669893,0.00099981,273977.0,0.02205,0.2367,0.8632,0.98172,0.55314,0.74374,0.30372,0.20881817,0.0,273977.0,0.00949,0.20882,0.85599,0.9893,0.56724,0.75315,0.31068,0.18760353,0.0,273977.0,0.00971,0.1876,0.95681,0.98535,0.1757,0.41916,
68,6.91235,13992.32045,3.88676,0.23880485,0.00099979,273977.0,0.02208,0.2388,0.8659,0.98091,0.54224,0.73637,0.31216,0.32543636,0.0,273977.0,0.00976,0.32544,0.81397,0.98337,0.73271,0.85598,0.30615,0.30326647,0.0,273977.0,0.00957,0.30327,0.93467,0.98167,0.26576,0.51552,
69,6.89109,13975.28461,3.88202,0.25265856,0.00099977,273977.0,0.02202,0.25266,0.84929,0.9798,0.60937,0.78062,0.30384,0.25492037,0.0,273977.0,0.00949,0.25492,0.84082,0.98576,0.62695,0.7918,0.30226,0.25837911,0.0,273977.0,0.00945,0.25838,0.93278,0.98128,0.27346,0.52294,
70,6.92271,13959.39383,3.87761,0.24632825,0.00099974,273977.0,0.02212,0.24633,0.86036,0.98175,0.5646,0.7514,0.31086,0.36205825,0.0,273977.0,0.00971,0.36206,0.81978,0.98498,0.70983,0.84251,0.30676,0.35326312,0.0,273977.0,0.00959,0.35326,0.92758,0.98216,0.29461,0.54278,
71,6.87952,13942.59547,3.87294,0.23618815,0.00099971,273977.0,0.02198,0.23619,0.85935,0.9807,0.56871,0.75413,0.30418,0.35948074,0.0,273977.0,0.00951,0.35948,0.81873,0.97914,0.71399,0.84498,0.30266,0.34282101,0.0,273977.0,0.00946,0.34282,0.92395,0.97998,0.30938,0.55622,
72,6.95528,13928.06879,3.86891,0.22891495,0.00099969,273977.0,0.02222,0.22891,0.86222,0.98253,0.55711,0.7464,0.31154,0.30475155,0.0,273977.0,0.00974,0.30475,0.81372,0.95927,0.73371,0.85657,0.31425,0.30112137,0.0,273977.0,0.00982,0.30112,0.90202,0.95663,0.39862,0.63136,
