,epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_auc,train_ap,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_auc,val_ap,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_auc,test_ap,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5
46,46,260.80998,13959.53734,3.87765,0.02531591,0.00030332,9745818,0.38074,0.98949,0.96002,0.52927,15.35022,0.04529251,0.0,9745818,0.17849,0.98108,0.87392,0.29227,14.00703,0.04784902,0.0,9745818,0.16287,0.97956,0.86978,0.28293,1.5019,0.4981,1.7899,0.2101,1.7822,0.2178,1.6679,0.3321,1.6174,0.3826
47,47,260.64884,13693.18296,3.80366,0.02509062,0.00029522,9745818,0.38051,0.98958,0.96077,0.53423,13.37277,0.04529728,0.0,9745818,0.1555,0.98116,0.87602,0.29833,14.04488,0.04788138,0.0,9745818,0.16331,0.97978,0.87199,0.28764,1.5056,0.4945,1.7927,0.2073,1.7761,0.2239,1.6683,0.3317,1.6155,0.3845
48,48,261.88624,13428.34937,3.7301,0.02489117,0.00028707,9745818,0.38232,0.98974,0.96203,0.53977,13.99872,0.04523742,0.0,9745818,0.16278,0.98093,0.87338,0.29613,14.64377,0.04786248,0.0,9745818,0.17028,0.97945,0.87059,0.28726,1.5078,0.4922,1.7988,0.2012,1.7803,0.2197,1.6664,0.3336,1.6178,0.3822
49,49,263.02489,13164.77232,3.65688,0.02468666,0.00027887,9745818,0.38398,0.98976,0.96297,0.54454,13.80908,0.04540806,0.0,9745818,0.16057,0.98121,0.87516,0.29557,14.55669,0.04806372,0.0,9745818,0.16926,0.97981,0.87261,0.28524,1.5063,0.4937,1.791,0.209,1.78,0.2201,1.668,0.332,1.6139,0.3861
50,50,263.27207,12901.45442,3.58374,0.02449245,0.00027064,9745818,0.38434,0.98983,0.96363,0.55458,13.3033,0.04554302,0.0,9745818,0.15469,0.98117,0.87381,0.29587,14.04263,0.04818623,0.0,9745818,0.16329,0.97967,0.8701,0.28563,1.5083,0.4917,1.7909,0.2091,1.7793,0.2207,1.6662,0.3339,1.6091,0.3909
51,51,260.7398,12635.8008,3.50994,0.02431833,0.0002624,9745818,0.38064,0.98994,0.96457,0.55868,13.34073,0.04589619,0.0,9745818,0.15512,0.98105,0.87413,0.29501,14.01952,0.04843016,0.0,9745818,0.16302,0.97972,0.87035,0.28494,1.5087,0.4913,1.7921,0.2079,1.7808,0.2192,1.6626,0.3374,1.6091,0.3909
52,52,261.31149,12370.83957,3.43634,0.02413812,0.00025413,9745818,0.38148,0.99001,0.96551,0.56186,13.36575,0.04577461,0.0,9745818,0.15542,0.98106,0.87326,0.29807,14.00948,0.04841701,0.0,9745818,0.1629,0.9795,0.87045,0.28615,1.5112,0.4888,1.7948,0.2052,1.78,0.22,1.6651,0.3349,1.6072,0.3928
53,53,261.28968,12105.99494,3.36278,0.02402107,0.00024587,9745818,0.38144,0.9901,0.96607,0.56426,13.34614,0.04594922,0.0,9745818,0.15519,0.98129,0.87385,0.29537,14.00383,0.04856775,0.0,9745818,0.16284,0.97972,0.87018,0.28551,1.5117,0.4883,1.7965,0.2035,1.7791,0.2209,1.6591,0.3409,1.6068,0.3931
54,54,262.21589,11842.03739,3.28945,0.02376043,0.0002376,9745818,0.3828,0.99007,0.9673,0.56986,13.33049,0.04581569,0.0,9745818,0.15501,0.98141,0.87195,0.29558,14.04806,0.04842955,0.0,9745818,0.16335,0.9801,0.86951,0.28605,1.5129,0.4871,1.8004,0.1996,1.7752,0.2248,1.6591,0.3409,1.6066,0.3933
55,55,259.18455,11575.76027,3.21549,0.02359347,0.00022936,9745818,0.37837,0.99024,0.96805,0.57523,15.15598,0.0463155,0.0,9745818,0.17623,0.98102,0.87191,0.29862,14.0438,0.0489239,0.0,9745818,0.1633,0.97963,0.86897,0.28586,1.5169,0.4831,1.792,0.208,1.7727,0.2273,1.6543,0.3457,1.6025,0.3975
56,56,258.91818,11309.53107,3.14154,0.02340066,0.00022113,9745818,0.37798,0.99036,0.96905,0.58262,13.32892,0.04637999,0.0,9745818,0.15499,0.98124,0.86982,0.29444,14.04626,0.04907764,0.0,9745818,0.16333,0.97955,0.86746,0.28501,1.5165,0.4835,1.7912,0.2088,1.7722,0.2278,1.6538,0.3463,1.6036,0.3963
57,57,262.84329,11046.3963,3.06844,0.02324098,0.00021293,9745818,0.38371,0.99038,0.96934,0.58509,13.32066,0.04647119,0.0,9745818,0.15489,0.98097,0.87225,0.29494,14.00841,0.04909988,0.0,9745818,0.16289,0.97943,0.86899,0.28441,1.5165,0.4836,1.7933,0.2067,1.7695,0.2306,1.6497,0.3503,1.6018,0.3982
58,58,259.75742,10781.12699,2.99476,0.02307844,0.00020478,9745818,0.37921,0.99049,0.97027,0.58908,13.33404,0.04677951,0.0,9745818,0.15505,0.98108,0.87044,0.29148,14.01628,0.049364,0.0,9745818,0.16298,0.97966,0.86708,0.28543,1.5163,0.4837,1.7927,0.2073,1.7688,0.2312,1.6496,0.3504,1.5999,0.4001
59,59,262.6421,10517.96452,2.92166,0.02289097,0.00019668,9745818,0.38342,0.99056,0.97096,0.59176,13.34653,0.04690033,0.0,9745818,0.15519,0.98105,0.86951,0.29382,14.00709,0.04960873,0.0,9745818,0.16287,0.97948,0.86725,0.28392,1.5197,0.4803,1.7994,0.2006,1.7676,0.2324,1.6449,0.3551,1.5997,0.4003
